Field name	Description	Type	Versions
fix.MarginExcess	MarginExcess (899)	Character string	1.2.0 to 4.2.3
fix.MarginRatio	MarginRatio (898)	Character string	1.2.0 to 4.2.3
fix.MarketDepth	MarketDepth (264)	Character string	1.0.0 to 4.2.3
fix.MarketID	MarketID (1301)	Character string	1.10.0 to 4.2.3
fix.MarketReportID	MarketReportID (1394)	Character string	1.10.0 to 4.2.3
fix.MarketReqID	MarketReqID (1393)	Character string	1.10.0 to 4.2.3
fix.MarketSegmentDesc	MarketSegmentDesc (1396)	Character string	1.10.0 to 4.2.3
fix.MarketSegmentID	MarketSegmentID (1300)	Character string	1.10.0 to 4.2.3
fix.MarketUpdateAction	MarketUpdateAction (1395)	Character string	1.10.0 to 4.2.3
fix.MassActionRejectReason	MassActionRejectReason (1376)	Character string	1.10.0 to 4.2.3
fix.MassActionReportID	MassActionReportID (1369)	Character string	1.10.0 to 4.2.3
fix.MassActionResponse	MassActionResponse (1375)	Character string	1.10.0 to 4.2.3
fix.MassActionScope	MassActionScope (1374)	Character string	1.10.0 to 4.2.3
fix.MassActionType	MassActionType (1373)	Character string	1.10.0 to 4.2.3
fix.MassCancelRejectReason	MassCancelRejectReason (532)	Character string	1.0.0 to 4.2.3
fix.MassCancelRequestType	MassCancelRequestType (530)	Character string	1.0.0 to 4.2.3
fix.MassCancelResponse	MassCancelResponse (531)	Character string	1.0.0 to 4.2.3
fix.MassStatusReqID	MassStatusReqID (584)	Character string	1.0.0 to 4.2.3
fix.MassStatusReqType	MassStatusReqType (585)	Character string	1.0.0 to 4.2.3
fix.MatchAlgorithm	MatchAlgorithm (1142)	Character string	1.10.0 to 4.2.3
fix.MatchIncrement	MatchIncrement (1089)	Character string	1.10.0 to 4.2.3
fix.MatchStatus	MatchStatus (573)	Character string	1.0.0 to 4.2.3
fix.MatchType	MatchType (574)	Character string	1.0.0 to 4.2.3
fix.MaturityDate	MaturityDate (541)	Character string	1.0.0 to 4.2.3
fix.MaturityDay	MaturityDay (205)	Character string	1.0.0 to 4.2.3
fix.MaturityMonthYear	MaturityMonthYear (200)	Character string	1.0.0 to 4.2.3
fix.MaturityMonthYearFormat	MaturityMonthYearFormat (1303)	Character string	1.10.0 to 4.2.3
fix.MaturityMonthYearIncrement	MaturityMonthYearIncrement (1229)	Character string	1.10.0 to 4.2.3
fix.MaturityMonthYearIncrementUnits	MaturityMonthYearIncrementUnits (1302)	Character string	1.10.0 to 4.2.3
fix.MaturityNetMoney	MaturityNetMoney (890)	Character string	1.2.0 to 4.2.3
fix.MaturityRuleID	MaturityRuleID (1222)	Character string	1.10.0 to 4.2.3
fix.MaturityTime	MaturityTime (1079)	Character string	1.10.0 to 4.2.3
fix.MaxFloor	MaxFloor (111)	Character string	1.0.0 to 4.2.3
fix.MaxMessageSize	MaxMessageSize (383)	Character string	1.0.0 to 4.2.3
fix.MaxPriceLevels	MaxPriceLevels (1090)	Character string	1.10.0 to 4.2.3
fix.MaxPriceVariation	MaxPriceVariation (1143)	Character string	1.10.0 to 4.2.3
fix.MaxShow	MaxShow (210)	Character string	1.0.0 to 4.2.3
fix.MaxTradeVol	MaxTradeVol (1140)	Character string	1.10.0 to 4.2.3
fix.MDBookType	MDBookType (1021)	Character string	1.10.0 to 4.2.3
fix.MDEntryBuyer	MDEntryBuyer (288)	Character string	1.0.0 to 4.2.3
fix.MDEntryDate	MDEntryDate (272)	Character string	1.0.0 to 4.2.3
fix.MDEntryForwardPoints	MDEntryForwardPoints (1027)	Character string	1.10.0 to 4.2.3
fix.MDEntryID	MDEntryID (278)	Character string	1.0.0 to 4.2.3
fix.MDEntryOriginator	MDEntryOriginator (282)	Character string	1.0.0 to 4.2.3
fix.MDEntryPositionNo	MDEntryPositionNo (290)	Character string	1.0.0 to 4.2.3
fix.MDEntryPx	MDEntryPx (270)	Character string	1.0.0 to 4.2.3
fix.MDEntryRefID	MDEntryRefID (280)	Character string	1.0.0 to 4.2.3
fix.MDEntrySeller	MDEntrySeller (289)	Character string	1.0.0 to 4.2.3
fix.MDEntrySize	MDEntrySize (271)	Character string	1.0.0 to 4.2.3
fix.MDEntrySpotRate	MDEntrySpotRate (1026)	Character string	1.10.0 to 4.2.3
fix.MDEntryTime	MDEntryTime (273)	Character string	1.0.0 to 4.2.3
fix.MDEntryType	MDEntryType (269)	Character string	1.0.0 to 4.2.3
fix.MDFeedType	MDFeedType (1022)	Character string	1.10.0 to 4.2.3
fix.MDImplicitDelete	MDImplicitDelete (547)	Character string	1.0.0 to 4.2.3
fix.MDMkt	MDMkt (275)	Character string	1.0.0 to 4.2.3
fix.MDOriginType	MDOriginType (1024)	Character string	1.10.0 to 4.2.3
fix.MDPriceLevel	MDPriceLevel (1023)	Character string	1.10.0 to 4.2.3
fix.MDQuoteType	MDQuoteType (1070)	Character string	1.10.0 to 4.2.3
fix.MDReportID	MDReportID (963)	Character string	1.10.0 to 4.2.3
fix.MDReqID	MDReqID (262)	Character string	1.0.0 to 4.2.3
fix.MDReqRejReason	MDReqRejReason (281)	Character string	1.0.0 to 4.2.3
fix.MDSecSize	MDSecSize (1179)	Character string	1.10.0 to 4.2.3
fix.MDSecSizeType	MDSecSizeType (1178)	Character string	1.10.0 to 4.2.3
fix.MDStreamID	MDStreamID (1500)	Character string	1.10.0 to 4.2.3
fix.MDSubBookType	MDSubBookType (1173)	Character string	1.10.0 to 4.2.3
fix.MDUpdateAction	MDUpdateAction (279)	Character string	1.0.0 to 4.2.3
fix.MDUpdateType	MDUpdateType (265)	Character string	1.0.0 to 4.2.3
fix.MessageEncoding	MessageEncoding (347)	Character string	1.0.0 to 4.2.3
fix.MessageEventSource	MessageEventSource (1011)	Character string	1.10.0 to 4.2.3
fix.MidPx	MidPx (631)	Character string	1.0.0 to 4.2.3
fix.MidYield	MidYield (633)	Character string	1.0.0 to 4.2.3
fix.MinBidSize	MinBidSize (647)	Character string	1.0.0 to 4.2.3
fix.MinLotSize	MinLotSize (1231)	Character string	1.10.0 to 4.2.3
fix.MinOfferSize	MinOfferSize (648)	Character string	1.0.0 to 4.2.3
fix.MinPriceIncrement	MinPriceIncrement (969)	Character string	1.10.0 to 4.2.3
fix.MinPriceIncrementAmount	MinPriceIncrementAmount (1146)	Character string	1.10.0 to 4.2.3
fix.MinQty	MinQty (110)	Character string	1.0.0 to 4.2.3
fix.MinTradeVol	MinTradeVol (562)	Character string	1.0.0 to 4.2.3
fix.MiscFeeAmt	MiscFeeAmt (137)	Character string	1.0.0 to 4.2.3
fix.MiscFeeBasis	MiscFeeBasis (891)	Character string	1.2.0 to 4.2.3
fix.MiscFeeCurr	MiscFeeCurr (138)	Character string	1.0.0 to 4.2.3
fix.MiscFeeType	MiscFeeType (139)	Character string	1.0.0 to 4.2.3
fix.missing_field	Missing mandatory field	Label	2.2.0 to 4.2.3
fix.MktBidPx	MktBidPx (645)	Character string	1.0.0 to 4.2.3
fix.MktOfferPx	MktOfferPx (646)	Character string	1.0.0 to 4.2.3
fix.ModelType	ModelType (1434)	Character string	1.10.0 to 4.2.3
fix.MoneyLaunderingStatus	MoneyLaunderingStatus (481)	Character string	1.0.0 to 4.2.3
fix.MsgDirection	MsgDirection (385)	Character string	1.0.0 to 4.2.3
fix.MsgSeqNum	MsgSeqNum (34)	Character string	1.0.0 to 4.2.3
fix.MsgType	MsgType (35)	Character string	1.0.0 to 4.2.3
fix.MultilegModel	MultilegModel (1377)	Character string	1.10.0 to 4.2.3
fix.MultilegPriceMethod	MultilegPriceMethod (1378)	Character string	1.10.0 to 4.2.3
fix.MultiLegReportingType	MultiLegReportingType (442)	Character string	1.0.0 to 4.2.3
fix.MultiLegRptTypeReq	MultiLegRptTypeReq (563)	Character string	1.0.0 to 4.2.3
fix.Nested2PartyID	Nested2PartyID (757)	Character string	1.2.0 to 4.2.3
fix.Nested2PartyIDSource	Nested2PartyIDSource (758)	Character string	1.2.0 to 4.2.3
fix.Nested2PartyRole	Nested2PartyRole (759)	Character string	1.2.0 to 4.2.3
fix.Nested2PartySubID	Nested2PartySubID (760)	Character string	1.2.0 to 4.2.3
fix.Nested2PartySubIDType	Nested2PartySubIDType (807)	Character string	1.2.0 to 4.2.3
fix.Nested3PartyID	Nested3PartyID (949)	Character string	1.2.0 to 4.2.3
fix.Nested3PartyIDSource	Nested3PartyIDSource (950)	Character string	1.2.0 to 4.2.3
fix.Nested3PartyRole	Nested3PartyRole (951)	Character string	1.2.0 to 4.2.3
fix.Nested3PartySubID	Nested3PartySubID (953)	Character string	1.2.0 to 4.2.3
fix.Nested3PartySubIDType	Nested3PartySubIDType (954)	Character string	1.2.0 to 4.2.3
fix.Nested4PartyID	Nested4PartyID (1415)	Character string	1.10.0 to 4.2.3
fix.Nested4PartyIDSource	Nested4PartyIDSource (1416)	Character string	1.10.0 to 4.2.3
fix.Nested4PartyRole	Nested4PartyRole (1417)	Character string	1.10.0 to 4.2.3
fix.Nested4PartySubID	Nested4PartySubID (1412)	Character string	1.10.0 to 4.2.3
fix.Nested4PartySubIDType	Nested4PartySubIDType (1411)	Character string	1.10.0 to 4.2.3
fix.NestedInstrAttribType	NestedInstrAttribType (1210)	Character string	1.10.0 to 4.2.3
fix.NestedInstrAttribValue	NestedInstrAttribValue (1211)	Character string	1.10.0 to 4.2.3
fix.NestedPartyID	NestedPartyID (524)	Character string	1.0.0 to 4.2.3
fix.NestedPartyIDSource	NestedPartyIDSource (525)	Character string	1.0.0 to 4.2.3
fix.NestedPartyRole	NestedPartyRole (538)	Character string	1.0.0 to 4.2.3
fix.NestedPartySubID	NestedPartySubID (545)	Character string	1.0.0 to 4.2.3
fix.NestedPartySubIDType	NestedPartySubIDType (805)	Character string	1.2.0 to 4.2.3
fix.NetChgPrevDay	NetChgPrevDay (451)	Character string	1.0.0 to 4.2.3
fix.NetGrossInd	NetGrossInd (430)	Character string	1.0.0 to 4.2.3
fix.NetMoney	NetMoney (118)	Character string	1.0.0 to 4.2.3
fix.NetworkRequestID	NetworkRequestID (933)	Character string	1.2.0 to 4.2.3
fix.NetworkRequestType	NetworkRequestType (935)	Character string	1.2.0 to 4.2.3
fix.NetworkResponseID	NetworkResponseID (932)	Character string	1.2.0 to 4.2.3
fix.NetworkStatusResponseType	NetworkStatusResponseType (937)	Character string	1.2.0 to 4.2.3
fix.NewPassword	NewPassword (925)	Character string	1.2.0 to 4.2.3
fix.NewsCategory	NewsCategory (1473)	Character string	1.10.0 to 4.2.3
fix.NewSeqNo	NewSeqNo (36)	Character string	1.0.0 to 4.2.3
fix.NewsID	NewsID (1472)	Character string	1.10.0 to 4.2.3
fix.NewsRefID	NewsRefID (1476)	Character string	1.10.0 to 4.2.3
fix.NewsRefType	NewsRefType (1477)	Character string	1.10.0 to 4.2.3
fix.NextExpectedMsgSeqNum	NextExpectedMsgSeqNum (789)	Character string	1.2.0 to 4.2.3
fix.NoAffectedOrders	NoAffectedOrders (534)	Character string	1.0.0 to 4.2.3
fix.NoAllocs	NoAllocs (78)	Character string	1.0.0 to 4.2.3
fix.NoAltMDSource	NoAltMDSource (816)	Character string	1.2.0 to 4.2.3
fix.NoApplIDs	NoApplIDs (1351)	Character string	1.10.0 to 4.2.3
fix.NoAsgnReqs	NoAsgnReqs (1499)	Character string	1.10.0 to 4.2.3
fix.NoBidComponents	NoBidComponents (420)	Character string	1.0.0 to 4.2.3
fix.NoBidDescriptors	NoBidDescriptors (398)	Character string	1.0.0 to 4.2.3
fix.NoCapacities	NoCapacities (862)	Character string	1.2.0 to 4.2.3
fix.NoClearingInstructions	NoClearingInstructions (576)	Character string	1.0.0 to 4.2.3
fix.NoCollInquiryQualifier	NoCollInquiryQualifier (938)	Character string	1.2.0 to 4.2.3
fix.NoCompIDs	NoCompIDs (936)	Character string	1.2.0 to 4.2.3
fix.NoComplexEventDates	NoComplexEventDates (1491)	Character string	1.10.0 to 4.2.3
fix.NoComplexEvents	NoComplexEvents (1483)	Character string	1.10.0 to 4.2.3
fix.NoComplexEventTimes	NoComplexEventTimes (1494)	Character string	1.10.0 to 4.2.3
fix.NoContAmts	NoContAmts (518)	Character string	1.0.0 to 4.2.3
fix.NoContextPartyIDs	NoContextPartyIDs (1522)	Character string	1.10.0 to 4.2.3
fix.NoContextPartySubIDs	NoContextPartySubIDs (1526)	Character string	1.10.0 to 4.2.3
fix.NoContraBrokers	NoContraBrokers (382)	Character string	1.0.0 to 4.2.3
fix.NoDates	NoDates (580)	Character string	1.0.0 to 4.2.3
fix.NoDerivativeEvents	NoDerivativeEvents (1286)	Character string	1.10.0 to 4.2.3
fix.NoDerivativeInstrAttrib	NoDerivativeInstrAttrib (1311)	Character string	1.10.0 to 4.2.3
fix.NoDerivativeInstrumentParties	NoDerivativeInstrumentParties (1292)	Character string	1.10.0 to 4.2.3
fix.NoDerivativeInstrumentPartySubIDs	NoDerivativeInstrumentPartySubIDs (1296)	Character string	1.10.0 to 4.2.3
fix.NoDerivativeSecurityAltID	NoDerivativeSecurityAltID (1218)	Character string	1.10.0 to 4.2.3
fix.NoDistribInsts	NoDistribInsts (510)	Character string	1.0.0 to 4.2.3
fix.NoDlvyInst	NoDlvyInst (85)	Character string	1.0.0 to 4.2.3
fix.NoEvents	NoEvents (864)	Character string	1.2.0 to 4.2.3
fix.NoExecInstRules	NoExecInstRules (1232)	Character string	1.10.0 to 4.2.3
fix.NoExecs	NoExecs (124)	Character string	1.0.0 to 4.2.3
fix.NoExpiration	NoExpiration (981)	Character string	1.10.0 to 4.2.3
fix.NoFills	NoFills (1362)	Character string	1.10.0 to 4.2.3
fix.NoHops	NoHops (627)	Character string	1.0.0 to 4.2.3
fix.NoInstrAttrib	NoInstrAttrib (870)	Character string	1.0.0 to 4.2.3
fix.NoInstrumentParties	NoInstrumentParties (1018)	Character string	1.10.0 to 4.2.3
fix.NoInstrumentPartySubIDs	NoInstrumentPartySubIDs (1052)	Character string	1.10.0 to 4.2.3
fix.NoIOIQualifiers	NoIOIQualifiers (199)	Character string	1.0.0 to 4.2.3
fix.NoLegAllocs	NoLegAllocs (670)	Character string	1.2.0 to 4.2.3
fix.NoLegs	NoLegs (555)	Character string	1.0.0 to 4.2.3
fix.NoLegSecurityAltID	NoLegSecurityAltID (604)	Character string	1.0.0 to 4.2.3
fix.NoLegStipulations	NoLegStipulations (683)	Character string	1.2.0 to 4.2.3
fix.NoLinesOfText	NoLinesOfText (33)	Character string	1.10.0 to 4.2.3
fix.NoLotTypeRules	NoLotTypeRules (1234)	Character string	1.10.0 to 4.2.3
fix.NoMarketSegments	NoMarketSegments (1310)	Character string	1.10.0 to 4.2.3
fix.NoMatchRules	NoMatchRules (1235)	Character string	1.10.0 to 4.2.3
fix.NoMaturityRules	NoMaturityRules (1236)	Character string	1.10.0 to 4.2.3
fix.NoMDEntries	NoMDEntries (268)	Character string	1.0.0 to 4.2.3
fix.NoMDEntryTypes	NoMDEntryTypes (267)	Character string	1.0.0 to 4.2.3
fix.NoMDFeedTypes	NoMDFeedTypes (1141)	Character string	1.10.0 to 4.2.3
fix.NoMiscFees	NoMiscFees (136)	Character string	1.0.0 to 4.2.3
fix.NoMsgTypes	NoMsgTypes (384)	Character string	1.0.0 to 4.2.3
fix.NoNested2PartyIDs	NoNested2PartyIDs (756)	Character string	1.2.0 to 4.2.3
fix.NoNested2PartySubIDs	NoNested2PartySubIDs (806)	Character string	1.2.0 to 4.2.3
fix.NoNested3PartyIDs	NoNested3PartyIDs (948)	Character string	1.2.0 to 4.2.3
fix.NoNested3PartySubIDs	NoNested3PartySubIDs (952)	Character string	1.2.0 to 4.2.3
fix.NoNested4PartyIDs	NoNested4PartyIDs (1414)	Character string	1.10.0 to 4.2.3
fix.NoNested4PartySubIDs	NoNested4PartySubIDs (1413)	Character string	1.10.0 to 4.2.3
fix.NoNestedInstrAttrib	NoNestedInstrAttrib (1312)	Character string	1.10.0 to 4.2.3
fix.NoNestedPartyIDs	NoNestedPartyIDs (539)	Character string	1.0.0 to 4.2.3
fix.NoNestedPartySubIDs	NoNestedPartySubIDs (804)	Character string	1.2.0 to 4.2.3
fix.NoNewsRefIDs	NoNewsRefIDs (1475)	Character string	1.10.0 to 4.2.3
fix.NoNotAffectedOrders	NoNotAffectedOrders (1370)	Character string	1.10.0 to 4.2.3
fix.NoOfLegUnderlyings	NoOfLegUnderlyings (1342)	Character string	1.10.0 to 4.2.3
fix.NoOfSecSizes	NoOfSecSizes (1177)	Character string	1.10.0 to 4.2.3
fix.NoOrders	NoOrders (73)	Character string	1.0.0 to 4.2.3
fix.NoOrdTypeRules	NoOrdTypeRules (1237)	Character string	1.10.0 to 4.2.3
fix.NoPartyAltIDs	NoPartyAltIDs (1516)	Character string	1.10.0 to 4.2.3
fix.NoPartyAltSubIDs	NoPartyAltSubIDs (1519)	Character string	1.10.0 to 4.2.3
fix.NoPartyIDs	NoPartyIDs (453)	Character string	1.0.0 to 4.2.3
fix.NoPartyList	NoPartyList (1513)	Character string	1.10.0 to 4.2.3
fix.NoPartyListResponseTypes	NoPartyListResponseTypes (1506)	Character string	1.10.0 to 4.2.3
fix.NoPartyRelationships	NoPartyRelationships (1514)	Character string	1.10.0 to 4.2.3
fix.NoPartySubIDs	NoPartySubIDs (802)	Character string	1.2.0 to 4.2.3
fix.NoPosAmt	NoPosAmt (753)	Character string	1.2.0 to 4.2.3
fix.NoPositions	NoPositions (702)	Character string	1.2.0 to 4.2.3
fix.NoQuoteEntries	NoQuoteEntries (295)	Character string	1.0.0 to 4.2.3
fix.NoQuoteQualifiers	NoQuoteQualifiers (735)	Character string	1.0.0 to 4.2.3
fix.NoQuoteSets	NoQuoteSets (296)	Character string	1.0.0 to 4.2.3
fix.NoRateSources	NoRateSources (1445)	Character string	1.10.0 to 4.2.3
fix.NoRegistDtls	NoRegistDtls (473)	Character string	1.0.0 to 4.2.3
fix.NoRelatedContextPartyIDs	NoRelatedContextPartyIDs (1575)	Character string	1.10.0 to 4.2.3
fix.NoRelatedContextPartySubIDs	NoRelatedContextPartySubIDs (1579)	Character string	1.10.0 to 4.2.3
fix.NoRelatedPartyAltIDs	NoRelatedPartyAltIDs (1569)	Character string	1.10.0 to 4.2.3
fix.NoRelatedPartyAltSubIDs	NoRelatedPartyAltSubIDs (1572)	Character string	1.10.0 to 4.2.3
fix.NoRelatedPartyIDs	NoRelatedPartyIDs (1562)	Character string	1.10.0 to 4.2.3
fix.NoRelatedPartySubIDs	NoRelatedPartySubIDs (1566)	Character string	1.10.0 to 4.2.3
fix.NoRelatedSym	NoRelatedSym (146)	Character string	1.0.0 to 4.2.3
fix.NoRelationshipRiskInstruments	NoRelationshipRiskInstruments (1587)	Character string	1.10.0 to 4.2.3
fix.NoRelationshipRiskLimits	NoRelationshipRiskLimits (1582)	Character string	1.10.0 to 4.2.3
fix.NoRelationshipRiskSecurityAltID	NoRelationshipRiskSecurityAltID (1593)	Character string	1.10.0 to 4.2.3
fix.NoRelationshipRiskWarningLevels	NoRelationshipRiskWarningLevels (1613)	Character string	1.10.0 to 4.2.3
fix.NoRequestedPartyRoles	NoRequestedPartyRoles (1508)	Character string	1.10.0 to 4.2.3
fix.NoRiskInstruments	NoRiskInstruments (1534)	Character string	1.10.0 to 4.2.3
fix.NoRiskLimits	NoRiskLimits (1529)	Character string	1.10.0 to 4.2.3
fix.NoRiskSecurityAltID	NoRiskSecurityAltID (1540)	Character string	1.10.0 to 4.2.3
fix.NoRiskWarningLevels	NoRiskWarningLevels (1559)	Character string	1.10.0 to 4.2.3
fix.NoRootPartyIDs	NoRootPartyIDs (1116)	Character string	1.10.0 to 4.2.3
fix.NoRootPartySubIDs	NoRootPartySubIDs (1120)	Character string	1.10.0 to 4.2.3
fix.NoRoutingIDs	NoRoutingIDs (215)	Character string	1.0.0 to 4.2.3
fix.NoRpts	NoRpts (82)	Character string	1.0.0 to 4.2.3
fix.NoSecurityAltID	NoSecurityAltID (454)	Character string	1.0.0 to 4.2.3
fix.NoSecurityTypes	NoSecurityTypes (558)	Character string	1.0.0 to 4.2.3
fix.NoSettlDetails	NoSettlDetails (1158)	Character string	1.10.0 to 4.2.3
fix.NoSettlInst	NoSettlInst (778)	Character string	1.2.0 to 4.2.3
fix.NoSettlOblig	NoSettlOblig (1165)	Character string	1.10.0 to 4.2.3
fix.NoSettlPartyIDs	NoSettlPartyIDs (781)	Character string	1.2.0 to 4.2.3
fix.NoSettlPartySubIDs	NoSettlPartySubIDs (801)	Character string	1.2.0 to 4.2.3
fix.NoSides	NoSides (552)	Character string	1.0.0 to 4.2.3
fix.NoSideTrdRegTS	NoSideTrdRegTS (1016)	Character string	1.10.0 to 4.2.3
fix.NoStatsIndicators	NoStatsIndicators (1175)	Character string	1.10.0 to 4.2.3
fix.NoStipulations	NoStipulations (232)	Character string	1.0.0 to 4.2.3
fix.NoStrategyParameters	NoStrategyParameters (957)	Character string	1.10.0 to 4.2.3
fix.NoStrikeRules	NoStrikeRules (1201)	Character string	1.10.0 to 4.2.3
fix.NoStrikes	NoStrikes (428)	Character string	1.0.0 to 4.2.3
fix.NotAffectedOrderID	NotAffectedOrderID (1371)	Character string	1.10.0 to 4.2.3
fix.NotAffOrigClOrdID	NotAffOrigClOrdID (1372)	Character string	1.10.0 to 4.2.3
fix.NoTargetPartyIDs	NoTargetPartyIDs (1461)	Character string	1.10.0 to 4.2.3
fix.NoTickRules	NoTickRules (1205)	Character string	1.10.0 to 4.2.3
fix.NotifyBrokerOfCredit	NotifyBrokerOfCredit (208)	Character string	1.0.0 to 4.2.3
fix.NoTimeInForceRules	NoTimeInForceRules (1239)	Character string	1.10.0 to 4.2.3
fix.NotionalPercentageOutstanding	NotionalPercentageOutstanding (1451)	Character string	1.10.0 to 4.2.3
fix.NoTrades	NoTrades (897)	Character string	1.2.0 to 4.2.3
fix.NoTradingSessionRules	NoTradingSessionRules (1309)	Character string	1.10.0 to 4.2.3
fix.NoTradingSessions	NoTradingSessions (386)	Character string	1.0.0 to 4.2.3
fix.NoTrdRegTimestamps	NoTrdRegTimestamps (768)	Character string	1.2.0 to 4.2.3
fix.NoTrdRepIndicators	NoTrdRepIndicators (1387)	Character string	1.10.0 to 4.2.3
fix.NoUnderlyingAmounts	NoUnderlyingAmounts (984)	Character string	1.10.0 to 4.2.3
fix.NoUnderlyingLegSecurityAltID	NoUnderlyingLegSecurityAltID (1334)	Character string	1.10.0 to 4.2.3
fix.NoUnderlyings	NoUnderlyings (711)	Character string	1.2.0 to 4.2.3
fix.NoUnderlyingSecurityAltID	NoUnderlyingSecurityAltID (457)	Character string	1.0.0 to 4.2.3
fix.NoUnderlyingStips	NoUnderlyingStips (887)	Character string	1.2.0 to 4.2.3
fix.NoUndlyInstrumentParties	NoUndlyInstrumentParties (1058)	Character string	1.10.0 to 4.2.3
fix.NoUndlyInstrumentPartySubIDs	NoUndlyInstrumentPartySubIDs (1062)	Character string	1.10.0 to 4.2.3
fix.NTPositionLimit	NTPositionLimit (971)	Character string	1.10.0 to 4.2.3
fix.NumberOfOrders	NumberOfOrders (346)	Character string	1.0.0 to 4.2.3
fix.NumBidders	NumBidders (417)	Character string	1.0.0 to 4.2.3
fix.NumDaysInterest	NumDaysInterest (157)	Character string	1.0.0 to 4.2.3
fix.NumTickets	NumTickets (395)	Character string	1.0.0 to 4.2.3
fix.OddLot	OddLot (575)	Character string	1.0.0 to 4.2.3
fix.OfferForwardPoints	OfferForwardPoints (191)	Character string	1.0.0 to 4.2.3
fix.OfferForwardPoints2	OfferForwardPoints2 (643)	Character string	1.0.0 to 4.2.3
fix.OfferPx	OfferPx (133)	Character string	1.0.0 to 4.2.3
fix.OfferSize	OfferSize (135)	Character string	1.0.0 to 4.2.3
fix.OfferSpotRate	OfferSpotRate (190)	Character string	1.0.0 to 4.2.3
fix.OfferSwapPoints	OfferSwapPoints (1066)	Character string	1.10.0 to 4.2.3
fix.OfferYield	OfferYield (634)	Character string	1.0.0 to 4.2.3
fix.OnBehalfOfCompID	OnBehalfOfCompID (115)	Character string	1.0.0 to 4.2.3
fix.OnBehalfOfLocationID	OnBehalfOfLocationID (144)	Character string	1.0.0 to 4.2.3
fix.OnBehalfOfSendingTime	OnBehalfOfSendingTime (370)	Character string	1.0.0 to 4.2.3
fix.OnBehalfOfSubID	OnBehalfOfSubID (116)	Character string	1.0.0 to 4.2.3
fix.OpenCloseSettleFlag	OpenCloseSettleFlag (286)	Character string	1.0.0 to 1.0.16
fix.OpenCloseSettlFlag	OpenCloseSettlFlag (286)	Character string	1.2.0 to 4.2.3
fix.OpenInterest	OpenInterest (746)	Character string	1.2.0 to 4.2.3
fix.OptAttribute	OptAttribute (206)	Character string	1.0.0 to 4.2.3
fix.OptPayoutAmount	OptPayoutAmount (1195)	Character string	1.10.0 to 4.2.3
fix.OptPayoutType	OptPayoutType (1482)	Character string	1.10.0 to 4.2.3
fix.OrderAvgPx	OrderAvgPx (799)	Character string	1.2.0 to 4.2.3
fix.OrderBookingQty	OrderBookingQty (800)	Character string	1.2.0 to 4.2.3
fix.OrderCapacity	OrderCapacity (528)	Character string	1.0.0 to 4.2.3
fix.OrderCapacityQty	OrderCapacityQty (863)	Character string	1.2.0 to 4.2.3
fix.OrderCategory	OrderCategory (1115)	Character string	1.10.0 to 4.2.3
fix.OrderDelay	OrderDelay (1428)	Character string	1.10.0 to 4.2.3
fix.OrderDelayUnit	OrderDelayUnit (1429)	Character string	1.10.0 to 4.2.3
fix.OrderHandlingInstSource	OrderHandlingInstSource (1032)	Character string	1.10.0 to 4.2.3
fix.OrderID	OrderID (37)	Character string	1.0.0 to 4.2.3
fix.OrderInputDevice	OrderInputDevice (821)	Character string	1.2.0 to 4.2.3
fix.OrderPercent	OrderPercent (516)	Character string	1.0.0 to 4.2.3
fix.OrderQty	OrderQty (38)	Character string	1.0.0 to 4.2.3
fix.OrderQty2	OrderQty2 (192)	Character string	1.0.0 to 4.2.3
fix.OrderRestrictions	OrderRestrictions (529)	Character string	1.0.0 to 4.2.3
fix.OrdRejReason	OrdRejReason (103)	Character string	1.0.0 to 4.2.3
fix.OrdStatus	OrdStatus (39)	Character string	1.0.0 to 4.2.3
fix.OrdStatusReqID	OrdStatusReqID (790)	Character string	1.2.0 to 4.2.3
fix.OrdType	OrdType (40)	Character string	1.0.0 to 4.2.3
fix.OrigClOrdID	OrigClOrdID (41)	Character string	1.0.0 to 4.2.3
fix.OrigCrossID	OrigCrossID (551)	Character string	1.0.0 to 4.2.3
fix.OrigCustOrderCapacity	OrigCustOrderCapacity (1432)	Character string	1.10.0 to 4.2.3
fix.OriginalNotionalPercentageOutstanding	OriginalNotionalPercentageOutstanding (1452)	Character string	1.10.0 to 4.2.3
fix.OrigOrdModTime	OrigOrdModTime (586)	Character string	1.0.0 to 4.2.3
fix.OrigPosReqRefID	OrigPosReqRefID (713)	Character string	1.2.0 to 4.2.3
fix.OrigSecondaryTradeID	OrigSecondaryTradeID (1127)	Character string	1.10.0 to 4.2.3
fix.OrigSendingTime	OrigSendingTime (122)	Character string	1.0.0 to 4.2.3
fix.OrigTime	OrigTime (42)	Character string	1.0.0 to 4.2.3
fix.OrigTradeDate	OrigTradeDate (1125)	Character string	1.10.0 to 4.2.3
fix.OrigTradeHandlingInstr	OrigTradeHandlingInstr (1124)	Character string	1.10.0 to 4.2.3
fix.OrigTradeID	OrigTradeID (1126)	Character string	1.10.0 to 4.2.3
fix.OutMainCntryUIndex	OutMainCntryUIndex (412)	Character string	1.0.0 to 4.2.3
fix.OutsideIndexPct	OutsideIndexPct (407)	Character string	1.0.0 to 4.2.3
fix.OwnershipType	OwnershipType (517)	Character string	1.0.0 to 4.2.3
fix.OwnerType	OwnerType (522)	Character string	1.0.0 to 4.2.3
fix.ParentMktSegmID	ParentMktSegmID (1325)	Character string	1.10.0 to 4.2.3
